Neighbourhood Name,Neighbourhood Number,Descriptive Name,Description,Civic Ward,Planning District
ABBOTTSFIELD,2010,Abbottsfield,"Abbottsfield was once owned by E.F. Carey, one of Edmonton's most 
prominent 19th century
citizens. Located in the City's northeast and annexed City in 1961, 
actual development began
nearly a decade later when a landfill on the site was transformed 
into Rundle Park. A
neighbourhood of mainly multi-family dwellings, Abbottsfield is popular 
with young families for its
access to the City's employment and commercial centres.",Métis,118 Avenue
ALBANY,3460,Albany,,Anirniq,Northwest
ALBERTA AVENUE,1010,Alberta Avenue,"One of the city's older residential neighbourhoods, Alberta Avenue is 
located in the inner city. A strong commercial element exists along 
three of its major traffic corridors, while the streets lined
with mature trees and the variety of housing styles -- mostly on small 
residential lots -- reflect the
neighbourhood's WWI-era development.",Métis,118 Avenue
ALBERTA PARK INDUSTRIAL,4010,Alberta Park Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
ALCES,6669,Alces,Formerly Decoteau North,Sspomitapi,Ellerslie
ALDERGROVE,4020,Aldergrove,"Planned in the 1970s, this area's multi-family dwellings on smaller lots 
were designed to help
preserve agricultural land and conserve energy. Half of the homes in 
the area are single-family
dwellings. Part of the West Jasper Place district, Aldergrove has a 
higher than average population
under the age of 20.",Nakota Isga,West Edmonton
ALLARD,5458,Allard,,Ipiihkoohkanipiaohtsi,Southwest
ALLENDALE,5010,Allendale,"Once farmed by the Allen family, this area was annexed by the City of 
Strathcona in 1907 and
became part of Edmonton in 1912 when Strathcona and Edmonton amalgamated. 
Predominately
a single-family residential neighbourhood, Allendale is south-centrally 
located and has good
access to a number of amenities (including the University of Alberta, 
Southgate Shopping Centre,
and the vibrant Whyte Avenue area).",papastew,Scona
AMBLESIDE,5505,Ambleside,"The name Ambleside most likely originates from a town of the same name located in Cumbria, England.  Bus service to Ambleside was created in October 2007 on Route 324 by the Edmonton Transit System during peak hours only.  The main roadway into the neighbourhood is Windermere Boulevard.  Once complete, the neighbourhood will include a mixed-use commercial centre designed as a neighbourhood focal point, and a series of parks, pathways and institutional facilities which will be integrated strategically with residential development.",pihêsiwin,Southwest
ANTHONY HENDAY,4011,Anthony Henday,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,Nakota Isga,West Henday
ANTHONY HENDAY BIG LAKE,4018,Anthony Henday Big Lake,,Nakota Isga,Jasper Place
ANTHONY HENDAY CASTLEDOWNS,4016,Anthony Henday Castledowns,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,Anirniq,Northwest
ANTHONY HENDAY CLAREVIEW,4022,Anthony Henday Clareview,,Dene,Northeast
ANTHONY HENDAY ENERGY PARK,4019,Anthony Henday Energy Park,,Dene,Horse Hills
ANTHONY HENDAY HORSE HILL,4021,Anthony Henday Horse Hill,,Dene,Horse Hills
ANTHONY HENDAY LAKE DISTRICT,4017,Anthony Henday Lake District,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,tastawiyiniwak,Northeast
ANTHONY HENDAY MISTATIM,4015,Anthony Henday Mistatim,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,Anirniq,Northwest
ANTHONY HENDAY RAMPART,4023,Anthony Henday Rampart,,Anirniq,Northwest
ANTHONY HENDAY SOUTH,4014,Anthony Henday South,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,Ipiihkoohkanipiaohtsi,Southwest
ANTHONY HENDAY SOUTH BLACKBURNE,4024,Anthony Henday South Blackburne,,Ipiihkoohkanipiaohtsi,Whitemud
ANTHONY HENDAY SOUTH EAST,6665,Anthony Henday South East,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,Sspomitapi,Mill Woods and Meadows
ANTHONY HENDAY SOUTH WEST,4012,Anthony Henday South West,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,sipiwiyiniwak,West Henday
ANTHONY HENDAY TERWILLEGAR,4013,Anthony Henday Terwillegar,This non-residential neighbourhood forms part of the Transportation Utility Corridor and Edmonton's outer ring road.,pihêsiwin,Whitemud
