WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,3140,Single Detached House,776,37,5,0
Ward 1,3140,Duplex/Fourplex,0,4,0,0
Ward 1,3140,Row House,13,1,0,0
Ward 1,3140,Apartment (5+ stories),0,0,0,0
Ward 1,3140,Apartment (1-4 stories),109,1,4,0
Ward 1,3140,Manufactured/Mobile Home,0,0,0,0
Ward 1,3140,Institution/Collective Residence,1,1,0,0
Ward 1,3140,Hotel/Motel,0,0,0,0
Ward 1,3140,RV/Tent/Other,1,0,0,0
Ward 1,3140,No Response,0,0,0,0
Ward 1,3330,Single Detached House,1275,43,3,0
Ward 1,3330,Duplex/Fourplex,0,0,0,0
Ward 1,3330,Row House,10,2,0,0
Ward 1,3330,Apartment (5+ stories),0,0,0,0
Ward 1,3330,Apartment (1-4 stories),0,0,0,0
Ward 1,3330,Manufactured/Mobile Home,0,0,0,0
Ward 1,3330,Institution/Collective Residence,0,0,0,0
Ward 1,3330,Hotel/Motel,0,0,0,0
Ward 1,3330,RV/Tent/Other,0,0,0,0
Ward 1,3330,No Response,0,0,0,0
Ward 1,3380,Single Detached House,0,0,0,0
Ward 1,3380,Duplex/Fourplex,0,0,0,0
Ward 1,3380,Row House,0,0,0,0
Ward 1,3380,Apartment (5+ stories),0,0,0,0
Ward 1,3380,Apartment (1-4 stories),0,0,0,0
Ward 1,3380,Manufactured/Mobile Home,0,0,0,0
Ward 1,3380,Institution/Collective Residence,0,0,0,0
Ward 1,3380,Hotel/Motel,0,0,0,0
Ward 1,3380,RV/Tent/Other,0,0,0,0
Ward 1,3380,No Response,0,0,0,0
Ward 1,4010,Single Detached House,0,0,0,0
Ward 1,4010,Duplex/Fourplex,0,0,0,0
Ward 1,4010,Row House,0,0,0,0
Ward 1,4010,Apartment (5+ stories),0,0,0,0
Ward 1,4010,Apartment (1-4 stories),0,0,0,0
Ward 1,4010,Manufactured/Mobile Home,0,0,0,0
Ward 1,4010,Institution/Collective Residence,0,0,0,0
Ward 1,4010,Hotel/Motel,0,0,0,0
Ward 1,4010,RV/Tent/Other,0,0,0,0
Ward 1,4010,No Response,0,0,0,0
Ward 1,4011,Single Detached House,0,0,0,0
Ward 1,4011,Duplex/Fourplex,0,0,0,0
Ward 1,4011,Row House,0,0,0,0
Ward 1,4011,Apartment (5+ stories),0,0,0,0
Ward 1,4011,Apartment (1-4 stories),0,0,0,0
Ward 1,4011,Manufactured/Mobile Home,0,0,0,0
Ward 1,4011,Institution/Collective Residence,0,0,0,0
Ward 1,4011,Hotel/Motel,0,0,0,0
Ward 1,4011,RV/Tent/Other,0,0,0,0
Ward 1,4011,No Response,0,0,0,0
Ward 1,4018,Single Detached House,0,0,0,0
Ward 1,4018,Duplex/Fourplex,0,0,0,0
Ward 1,4018,Row House,0,0,0,0
Ward 1,4018,Apartment (5+ stories),0,0,0,0
Ward 1,4018,Apartment (1-4 stories),0,0,0,0
Ward 1,4018,Manufactured/Mobile Home,0,0,0,0
